tweet,label
masyarakat indonesia harus diutamakan keren Pak Ganjar,2
Ganjar pranowo ajak masyarakat tetap bersatu,2
"Program pemerintah jokowi sngat bagus, SEMOGA pemerintah ke depan melanjutkan program yg sudah ada supaya cepat tercapai nya Indonesia yg adil makmur dan yg merata",3
kita berikan kerja nyata untuk Kemenangan Pak Ganjar 2024,3
"Ingin Pemimpin Yang Berani, Putra Bung Tomo: 'Ganjar Pranowo Belum Pernah Bicara Keadilan dan Komitmen Antikorupsi'",3
Pak Ganjar mengingatkan kita pentingnya menghargai jasa pahlawan,2
Pak ganjar sangat merakyat dan sedehana sekali mantap,2
Ganjar pranowo cocok dan bisa meneruskan pak jokowi. 6.000 kader angkatan muda sisingamangaraja XII siap menangkan Ganjar!,3
Itukan menurut lembaga sure pay... Semua pendukung baik dari projo dan ganjar takut sama Anies knapa bukan juga prabowo yg di serang ...,2
"bener banget Pak Ganjar, dukung penuh dari anak anak muda indonesia",3
"kerjaanya ade armando dan psi selalu membenturkan ganjar dan pdi perjuangan,mengatas namakan suatu gerakan politik atas nama jokowi dan atas nama ganjar,bilangnya dukung ganjar tp langkah politik real nya condong ke prabowo,dua kaki mmg berat bang ade.",2
"Gaada hubungannya sama sosok yg didukung, mau itu pak Anies, pak Prabowo, pak Ganjar. Kita cuma kecewa kalau pada akhirnya sesuatu yang kita harapkan bisa netral malah memihak sesuatu. Terlepas nanti secara redaksi akan ""netral"", orang sudah nggak akan percaya lagi",2
Ganjar Pranowo sosok pemimpin berani dan punya nyali,3
"adeknya pintar bgt, berani nyanyi didepan pak ganjar",2
Lasarus Memberikan Dukungan Terhadap Ganjar Pranowo,2
yg komentar tanpa menonton pasti kecele... tambahin kesukaan dari mereka berdua dong.. yang Ganjar saat podcast dg Deddy,2
"Ganjar dibndingkan sm anis, gak cocoklah, seharusny dibndingkan sm musni umar... Wkwk",2
Warga Kalbar Mendukung Ganjar Pranowo,2
Pesan Ganjar Pranowo agar semua bersinergi dan berkolaborasi menangkan Pemilu 2024!,3
"Silakan pilih sesuai ideologi politik masing masing. Yang islam pilih anies : silahkan Yang Kristen pilih ganjar : silakan Gak usah ribut. Bebas. Setelah pilpres selesai, jangan gontokan terus. Ada menang ada kalah. Dengerin kata cah nom",2
Kalau Ganjar JD presiden ..,2
Nek ganjar menang sampean menehi pulsa 100rb tapi nek ganjar kalah sampean ngasih 50 rb piye.,1
"Jadi kalau ganjar vs anies, ganjar akan kalah?",1
"Ayo pak ganjar bisa yok bisa yok Jgn bikin malu pak hasto, ntar mewek lho",2
"Betul pak ganjar, para pejuang kemerdekaan dengan susah payah untuk memerdekakan indonesia kita harus meneruskan perjuangan mereka",2
"Mboknya GK mikir ,Jokowi butuh partai Kl Ganjar didukung oleh Jokowi klb,tamat dinasti Sukarno",2
Betul x3...menurut LSI sejak Mei 2023 elektabilitas Ganjar terus merosot sampai ke titik NADIR...,3
Dibalik sosok hebat ganjar pranowo,2
"Selamat pagi Pak Ganjar,aku mohon ditinjau tanggul sungai di jalan Ronggolawe depan kantor kecamatan Semarang barat ambrol sampai sekarang belum ada perhatian dari instansi terkait,terima kasih",2
"Saya sangat yakin kalau ini benar adanya. Nanti kalau Ganjar menang , hampir semua mentri nya nanti adalah titipan partai. Ingat Bro and Sista , semua Mentri Koruptor adalah Mentri titipan Partai . Mau dibawa kemana Negri ini manakala eksekutif dikuasai PETUGAS PARTAI ?",3
"Dukungan semakin besar, optimis pak ganjar presiden",3
"ANIES BASWEDAN &amp; GANJAR PRANOTO ANDA JGN NGAREP BISA JD RI 1 YG JD RI ADLH MAHMOED AHMADINEJAD ( IMAM ALMAHDI , RATU ADIL , SATRIA PINGGIT ) TAHUUU",2
Ganjar Mendapatkan Gelar Anggota Kehormatan Luar Biasa dari Laskar Agung Macan Ali Cirebon!,2
Ganjar dapet gelar lagi nih,2
"Relawan PK ganjar kalau g di kasih sembako atau amplop pasti mls dtng,kan mereka miskin hrg diri BS di beli...",2
Keren memang pak ganjar ini,3
Ganjar berani dan punya nyali,3
"Tapi saya kok nggak ya , saya beragama islam milih ganjar",2
Semua dukung ganjar jadi presiden Dukung kpk berantas korupsi di indonesia,1
Dear Kalaulah Cawapres para menteri ditentukan oleh PDI-P MAKA sangat dimungkinkan dalam menjalankan roda pemerintahan BUKAN atas kehendak pikiran l Ganjar sendiri tapi atas kehendak PDIP ! INI YG DISEBUT BONEKA ATAU KACUNG cc,2
Ciri Pemimpin Tauladan dilihat dari Kehidupan Rumah Tangganya,3
"Berkah istri Sholihah, Nyonya Ganjar Banjir doa kebaikan dan pujian.",2
Mantap Den GANJAR,3
"Yg gw tau Ganjar : melanjutkan yg sebelumnya, ikn, dsb Anies : subsidi listrik ke tranport umum bukan pribadi, perubahan Prabowo : masih memantau",2
Ganjar Pranowo Sosok Pemimpin Berani dan Punya Nyali!,3
"Artinya, hasil survey elektabilitas Ganjar memang jeblok, nilai jual Banteng jeblok, demi pertahankan hidup Banteng terpaksa ""melacurkan"" diri.",2
"Dukungan terhadap semakin tak terbendung, kini dukungan datang dari seribu Jendral purnawirawan. Ganjar dinilai sebagai sosok yang konsisten mempertahankan 4 konsensus dasar negara. FULL ALBUM Aurel Fakta Tasyi KING IS BACK",2
"konon pak ganjar sering bawa pasukan, supaya tidak malu kalau acaranya sepi. jadi nampak rame terus.",2
"Ganjar menurutku biasa² aja malah terkesan penuh pencitraan 2 th ini mknya org dlm partai PDIP yg tahu akan kemampuannya mlh tdk mendukung tpi krn pilihan Emak didukung deh secara terpaksa krn akhirnya Kita semua akan memilih Yang terbaik dari yg terjelek, beda saat milih Jokowi",1
"Gak usah digagas , Jwban Ganjar saat ditanya Dedy itu bkn jwban, tp Ganjar balik tanya ""kalau"" saya nonton bokep salahnya dimana. Dia tdk bilang saya nonton bokep kok. Tp krn musim pilpres di goreng2 sama Kadrun pekok. Maaf jujur, sy bkn.pendukung GP sy pendukung PS.",1
Ganjar Pranowo bakar semangat ribuan kader PDIP dan relawan se-Sumut,3
Pilih ganjar jadi cawapres aja,2
Mungkin tujuannya utk para pendukung ganjar yg buta huruf,2
"gak ada asap kalo gak ada api, gak ada boneka kalo gak ada dalang gak mungkin Ganjar mampu memutuskan mandiri, karena beliau presiden tiktokan",2
Pagie Pak Ganjar.. Pagie Juga Bro. Salam Gen Z Salam METAL Salam Cihuyy Tetap Gasspoll.. Untuk Indonesia Menang.,3
COBA JELASKAN APA PRESTASINYA GANJAR...!,2
"Nggak juga lah,, Ganjar punya basis orang2 yang dapat manfa'at,,, Juga suara akar rumput PDI P",2
"Gpp lah Prabowo, walaupun bukan Anis, yg penting bukan Ganjar",2
Bagi saya pokok e Ganjar... AB Noooooo!! Jangan sampe JD presiden!!!!,1
"pilih ganjar = meneruskan pembangunan tp meneruskan juga mafia oligarki beserta korupsi masih akan merajalela. pilih anies = cuma ganti gerbong penguasa istana, proyek tetap dikuasai parpol pengikut nya. cuma ganti gerbong doank. pilih kedua nya akan sama saja gw yakin 100%",1
Ganjar itu petugas partai jadi tak mungkin jadi pemimpin?,1
"Menurut Pengamat Politik UIN Jakarta, Adi Prayitno : Masmen BUMN Erick Thohir memiliki keberanian tinggi dan bernyali besar seperti capres padeh Ganjar Pranowo. nyali tinggi mas ET telah berhasil membawa berbagai perubahan yang positif di Kementerian BUMN dan PSSI",2
"itu urusan mereka lah, kenapa seneng bgt ngejatuhin? sy aja gak pernah sekalipun bilang ganjar itu.........walaupun sy tau bgt siapa ganjar. sy tegak lurus arahan JOKOWI yaitu mendukung PRABOWO capres paling TEGAS dan BERANI",2
Pesan perdamaian Ganjar di depan ratusan ribu relawan_Sidoarjo-Jawa Timur,2
Positif Ganjar,2
Masyarakat Indonesia membutuhkan pemimpin hebat seperti Ganjar Pranowo,3
Pak ganjar selalu bersemangat melawan radikalisme antipancasila! Anies?,3
"Lo bego,seandainya AHY mau berkoalisi sama Puan itu artinya Ganjar diganti sama PUAN ! dan pastinya Ganjar diambil Nasdem pasangan sama Anies . TOLOL !!",2
"gak segitunya lah....narasi km nakut2in orang.....atau memang sengaja? klo begitu receh amat pendukung ganjar, contoh tu PRABOWO pendukungnya....sopan2",2
Saya yakin ganjar tdk mampu tangani koruosi..malah jdi marajalela koruosi..,2
Benarkah Ganjar Pranowo Suka Mengadu Ayam? Ini Faktanya,2
"Kiayi muda dukung Ganjar.. Kiayi dukung yg hobi nya nonton film porn*, itu kiayi mana sih..? Astaghfirullah..",2
"Selamat HUT ke 2 untuk Teman Ganjar, tetap solid Mantap uni ketum ku",2
"Yang pasti gw ga akan pernah pilih anies, ganjar dan prabowo. ga ada bagus2 nya buat jd presiden. kasihan indonesia 5thn disuguhi capres2 yg msh itu2 saja. belum muncul sosok yg di butuhkan indonesia dgn segala penyakitnya, masalah utama nya parpol",3
Ganjar dipastikan menjadi Presiden RI tahun 2024 H,2
Kasus Wadas dah diselesaikan dg baik oleh Den GANJAR ... DRUUN,2
"Penceramah atau ustad, atau kyai atau haji, banyak yg punyaistri lebih dr satu yg berlindung d balik, hukum islam, sebenernya mereka buaya darat , ganjar terdeteksi lihat bokep tp dia istrinya satu",1
"Seribu Jenderal Purnawirawan Turun Gunung Dukung Ganjar Jadi Presiden Relawan Gapura Nusantara (RGN) mendeklarasikan dukungan kepada Bacapres 2024 dari PDIP, Ganjar Pranowo. Mereka terdiri dari 1.000 jenderal purnawirawan TNI/Polri. FULL ALBUM Aurel Fakta Tasyi KING IS BACK",2
"Dan ini karya Ganjar, Waterboom terbesar di Asia",2
Kami rakyat mendukung pak Ganjar Pranowo untuk meminpin negri Indonesia 5 tahun kedepan Kami Rakyat Indonesia ingin bersama pak Ganjar merawat bangsa merawat kebhinekaan menjaga kekayaan bangsa ini Kamilah yang akan menentukan nasib bangsa berjuang bersama Ganjar Pranowo,2
"Trimedya Panjaitan kader PDIP, ""prestasi Ganjar hanya bisa memisknkn Jateng, apalagi kalo jdi presiden PASTI Indonesia tamba miskn yg tlh dimisknkn bpk Jokowi. Jdi kalo Jateng ttp doyan miskn, silahkn tapi jgnlah miskinkn lagi daerah lain yg sdh telanjur dimisknkn bpk Jokowi",2
Bukan rezim yg memusuhi tapi sebagian besar rakyat indonesia karena anis mamakai cara politik identitas pada pilkada jakarta dan jangan sampai ini menular ke seluruh NKRI,1
"Jualan Produk Kadaluarsa. Klean Berpolitik Tanpa Identitas,, Hanja Hedon &amp; opurtunis . 2019 klen Numpang Nama Jkw. 2024 klean Lakukan Lagi a/N . Ganjar . Cobalah Jangan Gangu2 akal Sehat Klean. Klean Hanja ingin Besar dgn Cara Tidak mau Bekerja keras Dari Bawah .",1
Dasar loe kaum OD tolol waktu ganjar nolak Israel kemana aja .,1
Bismillah semoga Allah mudahkan segala urusanya dan semoga pak ganjar bisa menjadi pemimpin selanjutnya aamiin..,3
"Kalau Prabowo vs Ganjar, saya yakin Prabowo ga akan menang. Makanya Jokowi seolah main dua kaki junjung dua duanya. Seharusnya Pak dan sadar. Yg kalian takutkan ; 1. Pak menang satu putaran. 2. Putaran kedua Pak Anies menang vs Ganjar.",3
Kami memilih Ganjar dan mayoritas rakyat Indonesia adalah pemilih Ganjar. Perkiraan kami 65 persen rakyat Indonesia akan menentukan pilihannya ke Ganjar. Menang total.,3
"Hadiri Rakernas II Saga, Ganjar Tekankan Berkampanye Harus Jujur Capres menegaskan kepada seluruh sukarelawan agar strategi pemenangan dlm Pemilihan Presiden 2024 secara jujur, berempati, tanpa hoaks, dan tiada caci maki FULL ALBUM Aurel Fakta Tasyi KING IS BACK",3
"Gaya berkomunikasi Ganjar dimata Jokowi. Jokowi menilai ""komunikasi -nya 'renyah' dengan rakyat, sehingga mudah diterima masyarakat serta gampang menjaring aspirasi mereka."" GanjarMenangTotal Selamat Pagi Nusantara",3
Siapa yang tidak kenal dengan Trimedia Panjaitan salah satu kader PDIP Perjuangan yang menentang untuk menjadi capres PDI Perjuangan. Hemm sekarang Trimedya siap all out menangkan pak ganjar..,3
Ganjar langsung kalah telak.,1
Relawan Gapura Nusantara (RGN) telah mendeklarasikan dukungan kpd Ganjar Pranowo. Mereka yg terdiri dari 1.000 jenderal purnawirawan TNI/Polri itu siap memenangkan Ganjar di Pilpres 2024. FULL ALBUM Aurel Fakta Tasyi KING IS BACK,3
Ganjar sosok pemimpin berani dan punya nyali,3
"jangan dikritik dgn video porno. Tapi mengingatkan ketakutan dia kepada &amp; Mega, sehingga apapun yg disuruh, Ganjar pasti turuti dan kerjakan, tanpa pikir panjang kalo itu merugikan negara dan menghancurkan kerja-kerja &amp;",1
"Kata bpk Trimedya Panjaitan kader PDIP, ""Prestasi Ganjar adalah memiskinkan Jawa tengah"". Kalo jadi presiden so pasti dia akan memiskinkan Indonesia. Kalo Jateng emang doyan miskin, saya minta tolong kpd bpk Ganjar jangan miskinkan prov lain jd bpk Ganjar tdk usah ikut capres",1
Sudah fix ganjar presiden 2024,3
Bahas menang pemilu 1 putaran dan itu para taipan pasti mau dompleng Ganjar,3
Skincare mahal wajah masih jelek.,2
"Ingin Pemimpin yang Berani, Putra Bung Tomo: Ganjar Belum Pernah Bicara Keadilan dan Komitmen Antikorupsi",3
"ANIES = ide &amp; gagasan, cerdas, santun, jis, formula e, transportasi publik, keadilan, kesetaraan, diplomasi internasional, banyak penghargaan, dll sdg GANJAR= miskin ide &amp; gagasan, bokep, banjir, jateng miskin, wadas, piala dunia u20 gagal, pansos, dll, jelas sekali beda kelas.",1
"Bersih transparan, Ganjar lah yang mengajarkan kita agar tidak melakukan korupsi sekecil apapun.",3
Bila Ganjar menang maka PDIP masih bisa meraup suara di sekitar 20% lah Demokrat cukup senang dengan 10%? Kah,3
Ganjar pemimpin masa depan,3
"Semangatnya tadi luar biasa, bagaimana konsensus berbangsa dan bernegara yang empat itu betul-betul dijaga,” kata Ganjar di lokasi deklarasi.",3
Yang ngomong Ganjar brow.. dia ga akan mu.gkin menolak Gratifikasi..(KORUPSI),1
Relawan Gapura Nusantara (RGN) telah mendeklarasikan dukungan kepada Ganjar Pranowo . Mereka yang terdiri dari 1.000 jenderal purnawirawan TNI/Polri itu siap memenangkan Ganjar di Pilpres 2024 . FULL ALBUM Aurel Fakta Tasyi KING IS BACK,3
"Kata bpk Trimedya Panjaitan, ""Ganjar berhasil memiskinkan Jawa tengah"". Kalo dia jadi presiden pasti dia memiskinkan Indonesia. Jadi kalo org Sumut dan Jateng tetap ingin miskin ya silahkan. Tapi tolong jangan miskinkan lagi provinsi lain yg sudah telanjur dimiskinkan rezim ini",1
Ganjar: Jangan Pernah Budaya Kita Digantikan dengan Asing,1
asalkan ganjar berhenti nonton Bokep...,1
"Sesuai petunjuk cawe² mukidi, keluar dari gerindra masuk PPP untuk cawapres den bagus ganjar bokep. Yg ada PPP malah ga tembus DPR, jadi partai gurem.",1
Bakal calon presiden Partai Demokrasi Indonesia Perjuangan (PDIP) meresmikan rumah pemenangan Ganjar Pranowo Sumatera Utara di Jalan Sei Serayu .,3
"Bagus agar tdk terjadi riak sekecil apapun. Pemilu lancar dan aman, Ganjar menang dengan mulus. Aamiiiin.....",3
Ganjar suka bokep itu juga fakta,1
Survei LSN: Prabowo Menang di 5 Provinsi Besar Kalahkan Ganjar Pranowo dan Anies Baswedan,3
Saya tdk mempermasalah siapa yg menang di 2024 krn Prabowo dan Ganjar hanya beda wadah tp isinya tetap Jokowi,3
Ganjar Pranowo pemimpin visioner,3
Ternyata Ganjar yg suka film porno surveynya yg paling tinggi ya bro ?,1
Menang 1 putaran! Ganjar pilihan keluarga ku,3
"Sanksi itu hanya buat anies, buat den bokepmah bebas mau ngapai juga,,, Lawan terberat anies itu bukan ganjar, tp para wasitnya,,,,",1
Pendukung Ganjar sdh panas dingin dengar nama Joko Widodo akan pimpin ikrar pemenangan Anies di Samarinda,3
Duh jangan sampek deh gabung rejim . Apalagi jadi cawapresnya ganjar.,1
"KADAL BUDUG OPORTUNIS,JANGAN PERCAYA SAMA ULAR BEDUDAG YANG PURA"" BAIK HANYA UNTUK MENIKAM,GANJAR TETAP AKAN JADI RI 1 WALAU TAK DI DUKUNG SI BAWUK",1
Tidak mudah terkalahkan kalo partai besar udah bersama untuk dukung penuh pak ganjar,1
Siap untuk kemenangan pak ganjar,3
Selama ada calon yg doyan bokep. Ga akan layak. Kasihan KOMINFO udah mahal2 beli Server blokir Bokep eh sama ganjar malah di jebol wkwkwkwk,1
ENG ING ENG... [BREAKINGNEWS] Goodbye Anies &amp; Nasdem Warung Sebelah KEBAKARAN JENGGOT Partai Demokrat Merapat ke koalisi Ganjar? Ga dapet cawapres tapi kemungkinan menang lebih besar dan bisa dapat jatah menteri. Balak kosong 9 tahun lebih diluar loe kira enak apa,3
Dari dulu juga begitu ngk konsisten...lihat tu PDIP puan ngk di Sorong Ganjar yg dimajukan utk cari kemengan.. seharusnya 3 partai dah solid..tinggal tambah pasar ceruk baru agar menang malah ngotot cawapres..logika aja 3 partai paling dapat suara pilpres jika Anies ahy 30%.,3
Kl koalisi pdip menang. Kalau kalah yah prabowo yg menabg. Kl mau Ganjar menang maka Anies harus ada jadi calon ke 3. Syukur syukur menang lawan prabowo di putaran 1. Kl yg ini langsung Ganjar vs prabowo bakal menang wowo,1
"Sumatera Utara siap memenangkan mu Pak Ganjar, horas !! Luna Batam AKU CINTA KAMU Messi Besok Senin Aurel Tertarik Mepe LOTR EXO BENERAN COMEBACK ี๋ลี่เร่อปา",3
Pak ganjar adalah calon pemimpin yang cerdas dan bijaksana,3
"Mulai kebuka khan, akun² yg awalnya sok penggemar bola &amp; anti-Ganjar, mulai ""bergaya"" kalau nggak ada capres yg lebih bagus dari Ganjar walau nggak sebagus pak Jokowi. Ganjar jadi gubernur Jateng aja masih amburadul, kok mau jadi presiden RI... . . Sahur dulu, puasa Senin",3
"Salam komando, semoga mas Ganjar menangkan Pilpres di Sumut, Aamiin. Luna Batam AKU CINTA KAMU Messi Besok Senin Aurel Tertarik Mepe LOTR EXO BENERAN COMEBACK ี๋ลี่เร่อปา",3
Saking paniknya kenapa jadi kayak yg ngemis2 ya?makanya bener mereka klaim Ganjar tdk mungkin dikalahkan &amp; hasil survey elektabilitas Ganjar selalu no. 1 itu cuma tipu2.,1
"Survei LSN: Elektabilitas Prabowo Tertinggi, Kalahkan Ganjar dan Anies -",1
"Ini sungguh luar biasa, semoga tuhan yang maha esa memberkati Ganjar Pranowo sebagai Capres pemenang di Pilpres 2024. Luna Batam AKU CINTA KAMU Messi Besok Senin Aurel Tertarik Mepe LOTR EXO BENERAN COMEBACK ี๋ลี่เร่อปา",3
"Klo suara pndukung Prabowo ditmbah suara pendukung Anies...bisa lebih dari 50%.Ganjar kalah,dan PDIP jd oposan.Semoga Demokrat menghitung ini..",1
indonesia akan bisa menjadi negara yang unggul jika Ganjar menjadi pemimpin.,3
Jangan Pak Ganjar...bawa sial dia!,1
"Putra Bung Tomo: Ganjar Pranowo Jangan Jadi Pemimpin, Kalau Tidak Berani Lawan Korupsi",3
"8 Karakter Kepemimpinan Ideal. Tak usah muluk-muluk Capres harus punya itu semua. TIDAK MELIHAT karakter DAPAT DPERCAYA pada Ganjar menusuk Jokowi dari belakang, menghancurkan kerja Jokowi, &amp; Ganjar buat Indonesia rugi 3,7 T.",3
"Pas Pak anies menang survei, senengnya minta ampun. Pas Pak Ganjar menang survei, ngomongnya PDIP takut sama Pak anies. Sbenernya lo Yakin Pak anies menang gak? Ribut terus lo Wong TOLOL",1
"Dukungan makin banyak, relawan bertumbuh bak jamur. Semoga ini pertanda awal menangnya Ganjar Pranowo di Pilpres 2024. Luna Batam AKU CINTA KAMU Messi Besok Senin Aurel Mepe LOTR EXO BENERAN COMEBACK ี๋ลี่เร่อปา",3
kek nya ga dibaca ISINYA ortu nyebut PERSEN DOANK wkwkwk jd yg pilih anies 10 itu 100%. muslim yg pilih ganjar 15 yyg 12 muslim 3 non muslim yg pilih prabowo 14 yg 11 muslim 3 mom muslim jd SIAPA YG UNGGUL?... ekekekek,1
"Bawaslu tak Bisa Sanksi Ganjar Terkait Deklarasi Relawan Libatkan Siswa SD, Ini Alasannya",2
"Ganjar Pranowo hadir menyaksikan relawan Sahabat Ganjar meluncurkan aplikasi dalam Rakernas II di Kota Surabaya, Jawa Timur, pada Sabtu 10 Juni 2023. .",2
Bahanmu ini sudah 3 periode digunakan.. Ini lebih elok.. Negative campaign lebih baik ketimbang fitnah sana sini.. Ada yg fitnah Ganjar korupsi E-KTP gue belain.. Pacul serang Ganjar juga gue belain.. Loe kl ngaku ngikutin gue harusnya paham.. Ngaku2 ga elok.. Fanatik buta..,1
"Nanti jika 3calon Anis ahy klah suara k prabowo,prabowo bs menang tp kl ahy d tarik ganjar yg menang..biar anis aja k prabowo itung2an survey pdip ganjar yg menang",3
